marca,modelo,quilometragem,fipe,valor_venda,ano_fabricacao
Chevrolet,AGILE,99019,32029,27270,2012
Renault,SANDERO,66330,43160,37286,2018
Renault,LOGAN,89304,44479,37234,2018
Chevrolet,ONIX,33374,50674,43114,2019
Volkswagen,FOX,77590,54285,44954,2018
Volkswagen,VOYAGE,51256,52329,44467,2018
Hyundai,HB20,45630,49990,45439,2019
Chevrolet,ONIX,58050,50674,45194,2019
Peugeot,2008,100450,59804,49012,2015
Volkswagen,POLO,10840,56032,55594,2019
Hyundai,SONATA,85262,59372,57159,2011
Fiat,UNO,127492,29895,24592,2013
Chevrolet,ONIX,93381,43710,37458,2017
Chevrolet,SPIN,37479,41202,35126,2014
Hyundai,HB20S,81428,41045,35107,2013
Citroen,C3 PICASSO,98659,32915,26373,2011
Jeep,RENEGADE,89039,75474,64931,2015
Fiat,MOBI,17436,39190,36317,2018
Hyundai,HB20,48057,56729,49809,2020
Chevrolet,ONIX,81406,47345,40788,2019
Chevrolet,CRUZE,47782,84647,72801,2017
Jac,T40,57116,69456,60878,2018
Fiat,GRAND SIENA,45920,54298,44069,2019
Fiat,500,94291,35601,28528,2011
Renault,KWID,68561,43533,35921,2019
Hyundai,HB20,36927,49990,46640,2019
Chevrolet,COBALT,63274,46063,43124,2016
Volkswagen,VOYAGE,71298,34521,28458,2013
Renault,KWID,62806,46745,38533,2020
Toyota,COROLLA,175005,76498,64843,2014
Chevrolet,CAPTIVA,122179,43818,34926,2011
Volkswagen,SAVEIRO,135814,43269,42214,2012
Chevrolet,ONIX,118029,40475,36346,2015
Ford,EDGE,97064,70993,57683,2012
Chevrolet,PRISMA,51350,43735,,2016
Fiat,GRAND SIENA,115371,37843,30994,2014
Fiat,IDEA,66006,37817,34970,2014
Honda,CITY,118384,51341,47901,2013
Volkswagen,VOYAGE,81175,42022,36101,2016
Renault,KWID,52797,40734,35071,2018
Chevrolet,SPIN,119724,55674,46463,2016
Chevrolet,CAPTIVA,87684,43818,36621,2012
Ford,ECOSPORT,70501,59227,49895,2015
Mercedes,CLASSE C,117357,60461,52638,2012
Hyundai,VELOSTER,118396,55989,45781,2012
Ford,FUSION,92338,63488,52539,2013
Volkswagen,UP!,101244,45393,40692,2015
Ford,NEW FIESTA HACTH,117337,38234,31766,2015
Hyundai,HB20,108612,43982,38235,2014
Peugeot,408,97826,39031,31684,2012
Volkswagen,GOL,60625,33847,32595,2016
Hyundai,HB20,118733,38566,36074,2013
Chevrolet,ONIX,89387,41463,35748,2016
Chevrolet,ONIX,53485,47345,39746,2018
Hyundai,IX35,149238,60490,55856,2011
Fiat,UNO,86752,35783,29520,2016
Fiat,UNO,112726,35783,29920,2016
Citroen,C3,100112,38853,32689,2014
Volkswagen,FOX,108654,35110,28379,2013
